2024-11-03 22:53:25,001 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:53:25,006 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:25,587 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Martin-Luther-King-Jr
2024-11-03 22:53:25,588 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:26,174 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:26,175 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:26,734 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/James-Baldwin
2024-11-03 22:53:26,736 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:26,739 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:26,739 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/6/
2024-11-03 22:53:26,739 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/6/
2024-11-03 22:53:27,290 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:27,290 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/6/
2024-11-03 22:53:27,290 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:27,833 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 22:53:27,835 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:28,391 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Eleanor-Roosevelt
2024-11-03 22:53:28,393 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:28,941 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:53:28,942 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:29,487 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:29,491 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:30,044 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Haruki-Murakami
2024-11-03 22:53:30,046 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:30,602 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Alexandre-Dumas-fils
2024-11-03 22:53:30,605 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:31,165 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Stephenie-Meyer
2024-11-03 22:53:31,166 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:31,727 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Ernest-Hemingway
2024-11-03 22:53:31,729 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:32,301 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Helen-Keller
2024-11-03 22:53:32,302 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:33,001 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/George-Bernard-Shaw
2024-11-03 22:53:33,006 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:33,023 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:33,023 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/7/
2024-11-03 22:53:33,023 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/7/
2024-11-03 22:53:33,615 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:33,616 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/7/
2024-11-03 22:53:33,616 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:34,230 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Charles-Bukowski
2024-11-03 22:53:34,233 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:34,791 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Suzanne-Collins
2024-11-03 22:53:34,792 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:35,462 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Suzanne-Collins
2024-11-03 22:53:35,465 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:36,073 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/C-S-Lewis
2024-11-03 22:53:36,074 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:36,681 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-R-R-Tolkien
2024-11-03 22:53:36,684 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:37,301 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:37,303 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:37,917 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Ernest-Hemingway
2024-11-03 22:53:37,920 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:38,531 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Ralph-Waldo-Emerson
2024-11-03 22:53:38,533 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:39,146 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mark-Twain
2024-11-03 22:53:39,149 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:39,760 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Dr-Seuss
2024-11-03 22:53:39,762 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:39,771 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:39,771 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/8/
